Plan file, plan diff, Entropy, Cosine, Hamming Similarity, Hamming Dist, Euclidean, Jaccard
agent_175.plans , s1-s3, 0.335237, 0.024339, 0.000000, 0.021220, 0.008786, 0.000000 
agent_175.plans , s2-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 

agent_176.plans , s1-s2, 0.240741, 0.000000, 100.000000, 0.023873, 0.005476, 0.000000 
agent_176.plans , s1-s3, 0.222301, 0.074201, 9.090909, 0.032714, 0.005032, 0.000000 
agent_176.plans , s2-s3, 0.212678, 0.078503, 0.000000, 0.033599, 0.004861, 0.000000 

agent_177.plans , s1-s2, 0.683105, 0.055921, 100.000000, 0.038904, 0.013322, 0.000000 
agent_177.plans , s1-s3, 0.690665, 0.101934, 0.000000, 0.051282, 0.013292, 0.000000 
agent_177.plans , s2-s3, 0.272482, 0.025881, 7.142857, 0.050398, 0.005822, 0.000000 

agent_178.plans , s1-s2, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 
agent_178.plans , s1-s3, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 
agent_178.plans , s2-s3, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 

agent_179.plans , s1-s2, 0.593531, 0.040907, 0.000000, 0.020336, 0.012432, 0.000000 
